Encoded SMILES,log P,Exact cone angle ($^\circ$)
[Li]<-S(c1ccccc1)c1ccccc1,3.8378000000000023,146.4654981178185
[Li]<-N#Cc1ccc(C)cc1,1.8667,100.22372562403196
[Be]=[C]1N(CCNC(=O)c2ccccc2)C=CN1c1c(C)cc(C)cc1C,3.631350000000003,184.19176205270963
[Li]<-P(c1ccccc1)(c1ccccc1)C(CC(=O)OC)c1ccccc1,4.423700000000003,181.7044686489687
[Li]<-P(CP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,5.209700000000004,149.4354206684904
[Li]<-P(N=C(c1ccccc1)N(C(C)C)C(C)C)(C(C)C)C(C)C,5.765700000000006,173.45363611095055
[Li]<-[O-][S+](C)C,-0.005299999999999971,117.82754845688264
[Li]<-N1CC1(C)C,0.36819999999999986,128.36480697947684
[Li]<-n1cccc2ccc3cccnc3c21,2.7830000000000004,173.42469614254685
[Li]<-n1cc[nH]c1CC,0.9721,145.27868588471705
[Li]<-P(C1CCCCC1)C1CCCCC1,4.330300000000003,164.18813620217992
[Li]<-s1c2ccccc2c2ccccc21,4.054500000000002,130.99452521343028
[Be]=[C]1N(C23CC4CC(CC(C4)C2)C3)C=CN1C12CC3CC(CC(C3)C1)C2,5.009090000000005,219.69923426715883
[Be]=[C]1N(c2c(C)cccc2C)C=CN1c1c(C)cccc1C,4.714370000000004,183.33892792060755
[Li]<-N1=C(C)OCC1,0.43500000000000005,139.08696636317592
[Li]<-N(=C(C)Nc1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,8.342200000000005,181.95660168051285
[Li]<-n1ccc(C(C)(C)C)cc1,2.3791,123.46355477532131
[Li]<-n1cc[nH]c1,0.40969999999999995,108.84549658253167
[Li]<-n1c(-c2cccc(OC)n2)n(Cc2cccc(OC)n2)c2ccccc21,3.5588000000000024,194.4161551703501
[Be]=[C]1N(C)C=CN1c1ccc2ccccc2n1,2.45409,187.79930626224527
[Li]<-PC1CCCCC1,2.1941999999999995,109.07269352658794
[Li]<-n1ccccc1N=Nc1ccccc1,3.4970000000000017,181.03609642026862
[Li]<-N(C(CC)CC)C(CC)CC,2.9532000000000016,179.70024006347498
[Be]=[C]1N(Cc2cccc(-c3ccccn3)n2)C=CN1c1c(C)cc(C)cc1C,4.858550000000004,200.6616985966382
[Li]<-N(=C(c1ccccc1)c1ccccc1)c1ccc(C)cc1,5.164120000000004,185.00653903088474
[Li]<-O=CN(C)C,-0.2956000000000001,105.3801096183501
[Li]<-S=C(N)NN=C(C)C,0.2153999999999998,146.05444468883428
[Be]=[C]1NCCN1c1ccc(C)cc1,1.4009099999999999,161.20240085639625
[Li]<-n1c(C)c(C(=O)c2ccccc2)c(O)n1-c1ccccc1,3.117320000000001,177.63774374854071
[Be]=[C]1N(C)C(Cl)=C(Cl)N1Cc1ccc(C#N)cc1,2.9061700000000013,172.07911416019098
[Be]=[C]1C=CC=C(C)N1,1.08839,124.9687184259936
[Li]<-n1ccc(C=Cc2ccccc2C#N)cc1,3.123680000000001,130.92793179388627
[Li]<-P(CNc1cccc2ccccc12)(CNc1cccc2ccccc12)CNc1cccc2ccccc12,9.1367,128.33876238013616
[Li]<-[As](C)(C)Cc1ccccc1,2.5227000000000004,115.17089765145558
[Li]<-n1c(N)cc[nH]c1=O,-0.6479000000000001,165.52976426831395
[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C(C)(C)CC12CCCCC2,6.911390000000006,217.65167270114412
[Li]<-N(CC)(CC)CCN=Cc1ccccn1,1.8422999999999998,239.78320286322503
[Li]<-N=Cc1ccccc1,1.68427,104.97585846416732
[Li]<-P(OC)(OC)c1ccccc1,1.9165999999999999,144.03114938948906
[Li]<-S1CCCC1,1.5133999999999999,114.49712926665777
[Be]=[C]1N(C)c2ccccc2N1C(F)F,2.16169,166.03877410221156
[Li]<-P(CCC#N)(CCC#N)CCC#N,2.20934,194.60777524719038
[Li]<-N1=C(OC)CCC1,0.8251000000000001,132.02904424624845
[Li]<-n1cn(-c2ccc(Oc3ccccc3)cc2)cn1,3.0596000000000014,97.73589957142191
[Be]=[C]1N(CC)c2ccccc2N1CC,2.3490900000000003,177.87379044669768
[Li]<-n1c(C)cccc1C,1.69844,180.98919491702645
[Li]<-P(c1ccccc1)(c1ccccc1)c1cccc(C=O)n1,2.6523000000000003,148.8476706249089
[Be]=[C]1N(C)C=CN1COCCC,1.0853899999999999,176.0833382785359
[Li]<-NCc1ccccc1,1.1453,106.29500959460005
[Li]<-P1(C(=CP(N(C(C)C)C(C)C)N(C(C)C)C(C)C)C(C)(C)C)Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2O1,10.820299999999987,165.87858519130575
[Be]=[C](NC(C)(C)C)N1CCCC1,1.46659,191.15581695315487
[Li]<-N(CC)Cc1ccccc1,1.7961,192.91239943644445
[Li]<-P(c1ccccc1)(c1ccccc1)c1cccc(C(C)(C)CC)n1,4.527400000000004,174.25965748793666
[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C(Cl)=C(Cl)N1c1c(C(C)C)cccc1C(C)C,9.107289999999999,208.60377034844146
[Li]<-P(CNc1ccc(Cl)nc1)(c1ccccc1)c1ccccc1,4.237300000000002,165.31994887690732
[Be]=[C]1N(c2c(C)cc(C)cc2C)C(=O)C(=NC(C)C)N1c1c(C)cc(C)cc1C,5.193510000000005,200.86649769172655
[Be]=[C]1N(C)N=CN1n1c(C)ccc1C,0.9279300000000001,172.52116075835787
[Li]<-n1cccc(N=Cc2cc(OC)ccc2O)c1,2.5464,132.99218018007895
[Li]<-n1c(N)ccc2ccccc21,1.817,179.66264030061717
[Li]<-P(OC)(c1ccccc1)c1ccccc1,2.6807000000000007,157.803974649367
[Li]<-[As](c1ccccc1)(c1ccccc1)c1ccccc1,2.2028,143.5246774545652
[Li]<-P(c1ccccc1)c1ccccc1,2.3159,134.61416726978345
[Li]<-n1c(C(F)(F)F)cc(C(F)(F)F)n1Cn1nc(C(F)(F)F)cc1C(F)(F)F,4.660600000000001,221.6480524094675
[Li]<-n1ccc(C=C)cc1,1.7246,129.04967664438482
[Li]<-n1cccc2cccc(Br)c21,2.997300000000001,183.55434267171935
[Li]<-N(CC)CC,0.6157999999999999,186.38841244412302
[Be]=[C]1N(CC)c2ccccc2N1CC(N)=O,0.8144899999999997,172.62209706907055
[Be]=[C]1N2C(=CN1c1c(C(C)C)cccc1C(C)C)C=CC=C2c1c(C(C)C)cc(C(C)C)cc1C(C)C,9.874189999999995,258.23578920702687
[Li]<-S=C(NC1CCCCC1)NC1CCCCC1,3.1159000000000017,158.40004589832355
[Li]<-N=C(C)OC,0.62997,125.06906109761074
[Li]<-n1ccc(CO)cc1,0.5738999999999999,125.80334568943073
[Li]<-P(c1c(C)cc(C)cc1C)C(C)(C)C,3.7141600000000023,157.932284598066
[Li]<-P12CN(CN(C(C)=O)C1)CN(C(C)=O)C2,0.28200000000000003,117.36211712087378
[Li]<-N1=C(c2ccc(Br)cc2)C1,2.2518000000000002,116.16642151293176
[Be]=[C]1N(c2c(CC)cccc2CC)C(C)(C)CC1(C)C,4.865090000000005,179.4401787916089
[Li]<-P(OC)(OC)OC,1.1524999999999999,147.4987249925459
[Li]<-P1(N2CCOCC2)Oc2ccc3ccccc3c2Sc2c(ccc3ccccc23)O1,6.474500000000004,186.2110344210642
[Li]<-P(c1ccccc1)(c1ccccc1)c1ccccc1CNc1ccccc1,5.056900000000003,210.33093964452036
[Li]<-P(C)(C)c1c(-c2c(C(C)C)cccc2C(C)C)cccc1-c1c(C(C)C)cccc1C(C)C,9.880999999999995,204.4738147769291
[Li]<-n1cc[nH]c1C,0.7181199999999999,134.70618135139517
[Li]<-P(OCC)(OCC)OCC,2.3228,144.67868563455707
[Li]<-n1cccc2c3ncccc3ccc21,2.7830000000000013,153.38809454518824
[Li]<-P(C=C)(c1ccccc1)c1ccccc1,3.2628000000000013,136.33194459176
[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)CCN1c1c(C(C)C)cccc1C(C)C,7.503090000000007,238.84000895547916
[Li]<-N1CCCCC1,0.7599,117.80720653439745
[Li]<-P(c1ccccc1)(c1ccccc1)c1c[nH]c(C(C)C)n1,3.2913000000000014,163.48311239672552
[Li]<-S=C(N(C)C)N(C)C,0.3945000000000001,129.47063322913425
[Li]<-N1=C(C)ON(C)C1c1ccccc1,1.9806000000000001,178.9682869343173
[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C(C)(C)CC12C1CC3CC(C1)CC2C3,7.403390000000007,233.27027835329798
[Li]<-p1(-c2ccccc2)c(-c2ccccn2)c2c(c1-c1ccccn1)CCCC2,6.665200000000006,159.5361179608894
[Li]<-p1(C(C)(C)C)p2p3p(C(C)(C)C)p(C(C)(C)C)p2p2p3p21,12.078599999999982,170.71482375603608
[Li]<-S1CCCSC1,1.814,117.95417638208652
[Li]<-[O-][n+]1ccccc1,0.3200000000000002,109.60651106371168
[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C(C)(C)CC12CC(C)CCC2C(C)C,8.039490000000008,231.91648181984021
[Li]<-P(c1ccco1)(c1ccco1)c1ccccc1C,2.9392200000000015,165.56151582886594
[Li]<-n1ccn(CC)c1,0.9029999999999999,119.97592550329689
[Be]=[C]1N(C2CCCCC2)C=CN1C1CCCCC1,3.7368900000000034,180.180258029422
[Li]<-P1(c2ccccc2)P(c2ccccc2)P(c2ccccc2)P1c1ccccc1,6.889600000000006,176.54478124490768
[Li]<-n1cc(-c2cccs2)cc2ccc3cc(-c4cccs4)cnc3c21,6.240000000000003,174.23748870164565
[Li]<-S=C(N)NN,-1.3067000000000002,141.84001525301503
[Li]<-P(C)(c1ccccc1)c1ccccc1,2.749100000000001,148.38194697467213
[Li]<-N(=O)C1=CN(CC)CC1,1.3198,140.88784459604886
[Li]<-n1cc(C)nc(C)c1,1.09344,135.15317882349694
[Be]=[C]1N(CC)C=CN1c1ccccc1,2.2959900000000006,185.57910680845433
[Be]=[C]1N(C)C=CN1CC,0.72119,165.3255564318267
[Li]<-p12p3p1p32,3.4448,113.33524813944437
[Li]<-n1ccc(C=NNC(=O)c2cccnc2)cc1,1.2405,114.37990625605865
[Li]<-P(C(=Cc1ccccc1)OCC)=C([Si](C)(C)C)[Si](C)(C)C,5.894900000000005,164.91136868323193
[Li]<-S=C1NCCN1C,-0.19369999999999998,134.64953404041162
[Be]=[C]1N(Cc2ccccc2)C=CN1Cc1ccccc1,3.471890000000002,178.8924231253587
[Li]<-O=P(C)(C)C,1.2389,85.82374311339957
[Li]<-P(OC(C)C)(OC(C)C)OC(C)C,3.4883000000000024,142.53939642206464
[Li]<-P(Cc1ccccc1)(C(C)C)C(C)C,4.485300000000004,191.00791260085296
[Li]<-n1ccc(C)cc1C,1.69844,148.3971912589505
[Li]<-P(C=C1SC(C)=C(C)S1)(c1ccccc1)c1ccccc1,5.649600000000005,130.94625345978412
