HOMO-LUMO gap (Eh),Metal center charge,Denticity,Isomer
0.127892,0.3425601749240562,1,2
0.111462,0.1565529232846414,1,1
0.124827,0.2649489448043951,1,1
0.163762,0.033932810625129,1,2
0.107479,0.3217877904912887,1,2
0.113804,0.3117142139524281,1,2
0.114102,0.3767937172724347,1,2
0.1188659999999999,0.2472326080629239,1,2
0.049644,0.4288568511350129,1,2
0.108912,0.3360111904878702,1,2
0.132393,0.3224742548342632,1,2
0.091231,0.341676646585102,1,2
0.0798,0.2806614586669251,1,2
0.128373,0.2730449211878835,1,1
0.161139,0.1943461921253892,1,1
0.148047,0.1339307909331251,1,1
0.1723229999999999,-0.00670107998065,1,2
0.1008839999999999,0.4990088529787331,1,1
0.119554,0.3068840481237809,1,2
0.153607,0.1040453628723769,1,1
0.0971909999999999,0.3548752619934619,1,1
0.138578,0.1167415659944733,1,2
0.088349,0.3468714279172457,1,1
0.127107,0.2392967861081283,1,2
0.0921029999999999,0.2998604989740918,1,1
0.099085,0.3328794315152404,1,1
0.099641,0.1820161471598855,1,1
0.139206,0.4588046513567456,1,2
0.126187,0.3521564993983285,1,2
0.0943099999999999,0.3533636339838278,1,1
0.1339169999999999,0.224256878996874,1,2
0.098712,0.2434554975943593,1,2
0.128964,0.3587885606701311,1,2
0.141756,0.2646029875886774,1,1
0.1060839999999999,0.4593440530936516,1,1
0.095997,0.3890124254956787,1,1
0.125745,0.2476531637864203,1,2
0.128788,0.2156588399398138,1,1
0.134375,0.0151853425194887,1,2
0.128208,0.0626223975379591,1,2
0.098642,0.6479319966851902,1,2
0.1381989999999999,0.1999020363468491,1,1
0.1139649999999999,0.3422105502539287,1,1
0.181204,0.1174514253852876,1,2
0.1341109999999999,0.2763938575276706,1,1
0.132748,0.2335698224025064,1,1
0.117725,0.3547667492819884,1,1
0.133199,0.2319776836197435,1,1
0.120012,0.2309752891478932,1,2
0.129615,0.2781997006429245,1,1
0.1490719999999999,0.1272953285710073,1,1
0.0738609999999999,0.3442806776123199,1,2
0.088001,0.3510611643606804,1,2
0.155587,0.0092309012797178,1,1
0.0809149999999999,0.0782647520152496,1,2
0.125837,0.2466054844791806,1,2
0.099722,0.3705363078253902,1,2
0.143582,0.2666629362966649,1,2
0.0890319999999999,0.3364035634606307,1,1
0.122171,0.2250867083663629,1,2
0.172656,-0.0223403143589111,1,2
0.121699,0.371148252648061,1,1
0.13044,0.287357087550782,1,1
0.1191299999999999,0.4013891308861799,1,2
0.154627,0.4441276389316615,1,2
0.154704,0.18009674008717,1,2
0.13491,0.2944736945218975,1,1
0.1346069999999999,0.2628986871756966,1,2
0.094212,0.3509114622727992,1,1
0.126232,0.2547121959362465,1,1
0.108601,0.3378568394901029,1,2
0.117585,0.3245574144465256,1,2
0.1345879999999999,0.2262055178788274,1,1
0.0964549999999999,0.345277411906856,1,1
0.0914929999999999,0.3742570128224912,1,2
0.095549,0.327574140362103,1,2
0.1511559999999999,0.0232999514759553,1,1
0.0836079999999999,0.5767386005949756,1,1
0.1184419999999999,0.3508887923659696,1,2
0.140953,0.3331865353627812,1,1
0.151977,-0.0105241541158368,1,2
0.0752569999999999,0.4632854847714058,1,1
0.087176,0.3459998655357795,1,2
0.097713,0.3780041384768284,1,1
0.151728,0.1039196181503987,1,2
0.100822,0.3515995752130936,1,2
0.1186919999999999,0.2852124265970152,1,1
0.12318,0.4389462979162165,1,2
0.103216,0.2068620740415147,1,2
0.1605849999999999,0.1193633741257211,1,1
0.1114869999999999,0.3561109853706571,1,1
0.12936,0.2907229830806229,1,1
0.0953639999999999,0.5281662201314172,1,2
0.1102499999999999,0.0045125358875891,1,1
0.1266409999999999,0.2394530199923073,1,2
0.115238,0.2232302896922638,1,1
0.160914,0.0880810006472666,1,1
0.099525,0.3414904558823959,1,1
0.129511,0.248920767917197,1,1
0.089851,0.2523615272756428,1,2
0.130661,0.2592661954820325,1,1
0.134819,0.2522570216734409,1,2
0.080295,0.2730640745255758,1,2
0.0912029999999999,0.3676301606758633,1,1
0.12007,0.3543189701351449,1,1
0.13533,0.3260279042100313,1,1
0.124171,0.255619817883556,1,1
0.1091169999999999,0.2931914606940017,1,2
0.174442,0.1078586015400056,1,2
0.124186,0.2589424897626885,1,2
0.11289,0.3322873605587658,1,2
0.0937649999999999,0.3135696297931337,1,1
0.125833,0.3613242769942698,1,1
0.120034,0.2635605433104053,1,2
0.0933369999999999,0.3475271487321746,1,1
0.123756,0.3677905072729596,1,1
0.096472,0.3667771995198308,1,1
0.104801,0.2911075267707207,1,1
0.0733259999999999,0.4048113526553584,1,2
0.132854,-0.0012126837134263,1,1
0.2002729999999999,0.2448817928059299,1,2
0.17586,0.0525114516394908,1,2
0.11107,0.3440759678093772,1,1
0.1019359999999999,0.2822685182163987,1,1
0.171088,0.2216560193303015,1,2
