log P,Ligand coordination bulkiness (Å$^3$)
1.58419,6.675984919843224
2.9468000000000014,7.604689973726825
1.9808,9.103904064712127
2.54408,7.604689973726825
2.846520000000001,7.604689973726825
3.2814000000000023,7.604689973726825
3.494010000000001,8.979115815721336
1.0841999999999996,5.176770828857923
2.28549,8.31182896972825
2.4023200000000005,7.265125695775816
2.7124200000000007,7.604689973726825
0.85429,6.800773168834016
1.4947,7.604689973726825
1.4873,8.639551537770327
2.7159000000000004,8.979115815721336
2.4468000000000005,7.604689973726825
2.6686000000000005,2.0883548669178933
0.73875,4.961994799897705
2.2640900000000004,6.675984919843224
2.749100000000001,5.1313936645694715
2.4517000000000007,7.604689973726825
2.3687700000000005,3.16782704664237
2.6991200000000006,6.675984919843224
2.7013000000000007,7.265125695775816
3.5307200000000014,7.604689973726825
2.535200000000001,7.604689973726825
2.0486,4.327476859676663
3.589190000000002,1.8387783689363106
3.486600000000003,7.604689973726825
3.871800000000003,4.051921484844995
1.9974,7.265125695775816
1.80969,6.675984919843224
1.7716999999999998,8.854327566730545
1.19165,6.1662552286129735
1.8155,8.514763288779536
4.478900000000004,3.8023449868634125
2.3467,7.265125695775816
2.681690000000001,6.675984919843224
3.1941900000000008,8.979115815721336
3.575200000000001,2.2131431159086845
3.076900000000002,7.265125695775816
2.373500000000001,7.604689973726825
3.436790000000001,6.800773168834016
1.57639,6.675984919843224
2.535200000000001,7.604689973726825
1.5868899999999997,10.26355387774642
1.9953,7.140337446785025
2.449,5.1313936645694715
3.076990000000001,6.675984919843224
0.7143999999999999,5.516335106808932
2.6163,2.0883548669178933
2.823590000000001,6.675984919843224
2.0412,7.604689973726825
2.548800000000001,7.604689973726825
3.7858000000000014,7.604689973726825
2.5013200000000007,8.808950402442093
2.852590000000001,6.675984919843224
1.30509,6.675984919843224
3.296800000000002,9.318680093672345
2.5444900000000006,6.675984919843224
2.900590000000001,6.675984919843224
1.3691999999999995,7.265125695775816
2.2022000000000004,1.8387783689363106
2.6249,7.0155491977942335
2.642150000000001,5.996856363941206
1.3423,7.514702193757399
3.168200000000001,7.0155491977942335
0.5490999999999999,7.604689973726825
3.451700000000001,2.462719613890267
3.103300000000001,8.639551537770327
4.262100000000002,4.881817166587889
3.485420000000002,4.42628623181737
3.505600000000002,7.604689973726825
3.2848200000000016,4.301497982826578
1.8077,8.979115815721336
1.46253,6.800773168834016
2.6651000000000007,6.675984919843224
3.892400000000003,9.318680093672345
3.299900000000002,12.114173956591662
0.4936,7.729478222717616
0.5388099999999998,6.4612088908830065
2.2211,7.265125695775816
2.946200000000001,5.00660541557868
1.73634,2.2131431159086845
2.08892,7.265125695775816
2.39501,4.961994799897705
3.2077000000000018,10.739748114597152
2.2484200000000003,7.140337446785025
3.9235000000000015,7.604689973726825
2.561000000000001,7.265125695775816
2.939400000000001,7.094960282496573
3.4029000000000016,7.729478222717616
3.557990000000003,1.963566617927102
3.140620000000001,7.604689973726825
2.4415500000000003,6.800773168834016
2.681000000000001,7.604689973726825
2.1137,7.604689973726825
2.4914,7.265125695775816
3.0214000000000008,2.2131431159086845
3.094100000000002,7.729478222717616
2.904520000000001,7.604689973726825
2.6739000000000006,7.604689973726825
3.2596200000000017,7.604689973726825
1.9964,7.604689973726825
1.8155,7.140337446785025
1.83649,7.140337446785025
1.81819,6.675984919843224
3.7406000000000015,8.854327566730545
2.6568000000000005,7.604689973726825
-1.0632099999999989,3.2480046799521856
3.094300000000001,3.9271332358542037
2.961720000000001,7.140337446785025
1.54259,6.800773168834016
2.1852,9.103904064712127
2.5083400000000005,7.0155491977942335
2.6249,7.140337446785025
1.7715199999999998,10.353541657715846
0.6267200000000002,1.8387783689363106
2.9907900000000014,7.514702193757399
2.1183,9.318680093672345
2.4914900000000006,6.925561417824807
2.6739000000000006,7.604689973726825
3.084600000000001,8.979115815721336
0.8853899999999999,4.667041137627672
0.3390999999999998,7.094960282496573
1.7176900000000002,7.265125695775816
2.5378,8.684162153451302
3.560700000000001,2.3379313648994757
-0.8589800000000001,7.604689973726825
4.444720000000004,3.6775567378726213
3.812610000000003,6.3810312575731905
4.150400000000002,8.979115815721336
0.4470999999999998,7.835634732877517
1.61109,6.675984919843224
3.3339200000000018,8.979115815721336
3.170910000000002,6.675984919843224
2.28191,6.800773168834016
2.5207,7.604689973726825
3.140620000000001,9.318680093672345
1.96081,4.961994799897705
2.5444900000000006,6.675984919843224
1.0319,1.8387783689363106
2.2655000000000003,3.737569535136596
3.0044000000000013,9.443468342663136
3.081800000000001,4.301497982826578
0.8770999999999998,8.175199010828527
4.560840000000003,7.3551134757452425
0.8537000000000001,7.265125695775816
2.24311,6.800773168834016
1.17512,6.800773168834016
-0.3708,1.8387783689363106
1.0816999999999992,4.176709733835787
2.3384,5.516335106808932
1.1625,2.3379313648994757
1.6524999999999996,3.8023449868634125
3.129300000000001,7.604689973726825
2.874100000000001,5.641123355799723
3.942700000000003,5.765911604790515
0.6285900000000001,8.005033597549284
1.5023,1.8387783689363106
0.7650000000000002,2.2131431159086845
2.2985000000000007,2.462719613890267
1.4207,4.051921484844995
2.733900000000001,10.49017161661557
1.35889,8.979115815721336
4.230700000000003,8.497099160485952
1.1819,7.729478222717616
0.5570999999999999,7.265125695775816
2.9652200000000004,12.271785565627159
0.2486999999999997,7.604689973726825
1.30089,6.675984919843224
1.99997,4.961994799897705
3.980240000000002,5.765911604790515
-0.3539000000000003,6.015488102772097
-0.0026000000000003,7.604689973726825
0.8770999999999999,6.675984919843224
2.385120000000001,8.979115815721336
0.1558999999999999,7.729478222717616
2.16143,6.800773168834016
2.23409,1.8387783689363106
0.4141900000000001,6.630607755554774
2.2824,9.942621338626301
1.56119,6.675984919843224
1.6669699999999998,5.00660541557868
1.44002,7.604689973726825
1.5939,5.516335106808932
1.57572,6.800773168834016
-0.2836999999999991,8.764339786761118
2.3829900000000004,1.8387783689363106
3.3057200000000018,9.318680093672345
1.0538999999999998,8.175199010828527
3.5322000000000022,9.318680093672345
0.9755999999999998,2.0883548669178933
2.934400000000001,7.585291686288459
1.7232999999999998,2.2131431159086845
1.0884999999999998,2.3379313648994757
2.2195000000000005,9.568256591653928
2.2514000000000003,8.933738651432884
0.6610900000000002,3.4627807089124034
3.082450000000001,5.675923824821088
0.85009,6.800773168834016
1.6467999999999998,7.604689973726825
1.3523999999999998,7.604689973726825
2.7554000000000007,8.854327566730545
2.797290000000001,3.712357206893986
0.5660900000000002,6.675984919843224
2.1916,3.9271332358542037
0.7546200000000001,7.140337446785025
2.266,5.00660541557868
0.92879,6.800773168834016
2.1641000000000004,2.462719613890267
0.7213999999999999,6.800773168834016
0.89699,6.675984919843224
1.92592,3.712357206893986
0.0705999999999997,6.140276351762889
1.5751600000000003,4.086721953866361
0.6884999999999997,2.3379313648994757
2.385120000000001,7.140337446785025
1.2407,7.140337446785025
1.8962,9.318680093672345
-0.3539,5.890699853781306
3.981700000000004,5.765911604790515
0.9707199999999998,7.265125695775816
2.0871,7.265125695775816
3.5396000000000027,5.516335106808932
1.6541,4.881817166587889
2.655490000000001,1.8387783689363106
2.61439,4.051921484844995
1.6935,2.462719613890267
0.8770999999999999,6.800773168834016
3.101710000000001,9.228692313702918
1.69682,5.4263473268395055
1.3868,1.8387783689363106
2.4824,3.9271332358542037
2.0473,7.604689973726825
1.95899,6.675984919843224
3.718300000000002,3.9271332358542037
3.328400000000002,7.604689973726825
1.2677999999999998,7.604689973726825
1.0155999999999998,3.9271332358542037
2.4369000000000005,11.65661145857182
2.954600000000001,2.0883548669178933
1.2787,9.318680093672345
0.0037999999999999,1.8387783689363106
1.1749299999999998,6.585997139873798
0.8514999999999999,5.176770828857923
1.1158899999999998,5.336359546870079
0.8770999999999998,6.800773168834016
2.4789000000000003,7.604689973726825
0.8309,10.49017161661557
0.24509,6.800773168834016
1.7092999999999998,7.0155491977942335
2.23212,1.963566617927102
1.7873,11.52503318065907
1.5200899999999995,6.3810312575731905
3.280590000000002,5.675923824821088
1.4820999999999998,6.800773168834016
0.5516000000000001,7.604689973726825
0.1377999999999999,8.979115815721336
1.7089,2.0883548669178933
0.7213999999999998,8.639551537770327
-0.6186999999999996,4.881817166587889
2.2434000000000003,9.318680093672345
2.1977,2.3379313648994757
2.1763000000000003,8.808950402442093
1.0538999999999998,7.604689973726825
2.998390000000001,1.8387783689363106
3.101300000000001,7.479901724736034
2.5770800000000005,1.8387783689363106
0.93359,12.146942862363707
-1.7227999999999997,1.8387783689363106
2.8928200000000013,5.516335106808932
1.3375,7.604689973726825
1.0656,7.0155491977942335
2.8516400000000006,11.032670213617864
2.23212,1.963566617927102
1.2878999999999998,3.612781286145805
1.4487,3.9271332358542037
2.2277200000000006,7.265125695775816
2.7451100000000013,1.8387783689363106
2.4137900000000005,6.7205955355241995
0.72834,7.140337446785025
1.6019,7.389913944766607
1.8927,2.2131431159086845
2.703070000000001,3.9271332358542037
2.0472,8.684162153451302
1.93359,6.675984919843224
2.3646200000000004,7.0155491977942335
1.4194999999999998,8.979115815721336
2.0719,7.604689973726825
2.1064799999999995,1.8387783689363106
2.6845000000000008,1.8387783689363106
1.8107,7.854266471708408
0.9335999999999998,7.265125695775816
1.94329,6.3810312575731905
0.7290899999999999,1.8387783689363106
2.7593000000000014,4.051921484844995
2.7360000000000007,7.604689973726825
2.0742,7.265125695775816
-0.5511000000000004,6.336420641892215
0.4079000000000001,1.8387783689363106
2.9154000000000018,5.641123355799723
2.18072,7.265125695775816
2.6133200000000008,12.204161736561089
1.29,1.8387783689363106
0.5063999999999997,7.729478222717616
3.0587800000000014,3.6775567378726213
2.4104800000000006,1.8387783689363106
1.7101,2.3379313648994757
1.3394,9.103904064712127
2.4829,8.639551537770327
0.3678999999999998,7.265125695775816
0.3763000000000003,2.0883548669178933
0.478,9.318680093672345
1.5757199999999998,8.514763288779536
2.27771,6.925561417824807
2.21815,7.140337446785025
2.736000000000001,7.479901724736034
2.38079,6.3810312575731905
2.2434000000000003,9.318680093672345
1.78012,7.604689973726825
2.8888000000000016,4.881817166587889
2.5597000000000003,1.8387783689363106
1.0456000000000003,8.808950402442093
2.3623000000000003,12.32894998555188
1.9238,10.693105935666855
1.4747,5.675923824821088
1.5162999999999998,3.8023449868634125
2.0871,8.979115815721336
2.1901399999999995,8.979115815721336
2.0871,7.604689973726825
2.730100000000001,5.516335106808932
1.763,7.604689973726825
2.2990000000000004,7.604689973726825
1.29339,1.8387783689363106
1.1204899999999995,7.710079935279251
1.5609,2.3379313648994757
2.5143000000000004,5.211571297879288
1.78012,8.979115815721336
2.812420000000002,9.318680093672345
1.79119,6.7205955355241995
3.036500000000001,4.051921484844995
0.5053000000000001,9.719023717494803
2.3923000000000005,5.641123355799723
0.6374999999999998,6.800773168834016
1.5956,5.4263473268395055
1.1480899999999998,6.1662552286129735
3.167300000000002,9.693044840644719
1.78162,1.624002339976093
0.9576000000000002,9.318680093672345
1.8946,5.00660541557868
1.7194,6.970172033505782
-0.6337000000000006,7.389913944766607
-0.56838,8.639551537770327
1.5311199999999998,5.00660541557868
2.1542000000000003,8.808950402442093
1.3263999999999998,7.265125695775816
-0.2735000000000003,6.015488102772097
1.34818,3.6775567378726213
1.0879999999999996,12.656672553593957
1.79404,4.961994799897705
